From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life
Angola,Namibia,2030,0,700,452.647843,30
DRC,Angola,2030,0,375,246.8064,30
DRC,South_Africa,2030,0,3000,2100,30
South_Africa,Zimbabwe,2030,0,485,150.394,30
Mozambique,Zambia,2030,0,300,136.2,30
Zambia,Angola,2030,0,1920,1284,30
Namibia,Botswana,2030,0,300,344.52,30
Malawi,Zambia,2030,0,300,191.7,30
Tanzania,Mozambique,2030,0,780,307.02,30
Tanzania,Malawi,2030,0,835,249.36,30
Zambia,Botswana,2030,0,155,131.731,30
Zambia,Namibia,2030,0,155,131.731,30
Zambia,Zimbabwe,2030,0,410,68.352,30
Mozambique,South_Africa,2030,0,565,206,30
Mozambique,Zimbabwe,2030,0,275,107.184,30
Mozambique,Eswatini,2030,0,500,182.9484902,30
Namibia,South_Africa,2030,0,375,129.468,30
Eswatini,South_Africa,2030,0,600,45,30
South_Africa,Botswana,2030,0,495,128.515,30
Botswana,Zimbabwe,2030,0,740,305.731,30
DRC_South,Zambia,2030,0,175,161.34,30
Lesotho,South_Africa,2030,0,90,17,30
DRC,DRC_South,2030,0,300,885.2,30
Malawi,Mozambique,2030,0,300,167.52,30
Zambia,Tanzania,2030,0,350,550.512,30
Mozal,Mozambique,2030,0,1000,500,30
