gen,zone,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,DiscreteCap
Abeche ,Chad,OCGT,Diesel,1.0,2010.0,,0.5,,,,,,,,,,,,,,,,0
Abeche 2,Chad,OCGT,Diesel,3.0,2030.0,,13.5,,,,13.5,,,,,,,,,,,,0
AH Mabubas,Angola,ROR,Water,1.0,1954.0,2051.0,25.6,,,,,,,,,,,,,,,,0
Akanyaru Peat,Rwanda,ST,Coal,2.0,2032.0,,0.0,,,,50.0,,,,,,,,,,,,0
Akieni,Gabon,ROR,Water,3.0,2030.0,,120.75,,,,0.0,,,,,,,,,,,,0
Akoga,EquatorialGuinea,OCGT,Gas,3.0,2030.0,,38.0,,,,38.0,,,,,,,,,,,,0
Akok,Gabon,ICE,Diesel,1.0,2020.0,,0.69,,,,,,,,,,,,,,,,0
Alenakiri,Gabon,OCGT,Gas,1.0,2020.0,,48.0,,,,,,,,,,,,,,,,0
AM Timan ,Chad,OCGT,Diesel,1.0,2010.0,,0.5,,,,,,,,,,,,,,,,0
AM Timan 1,Chad,PV,Solar,2.0,2023.0,,5.0,,,,5.0,,,,,,,,,,,,0
AM Timan 2,Chad,PV,Solar,3.0,2028.0,,5.0,,,,5.0,,,,,,,,,,,,0
Amdjarass,Chad,OnshoreWind,Wind,2.0,2025.0,,1.1,,,,1.1,,,,,,,,,,,,0
Anda Gassi,Chad,PV,Solar,2.0,2026.0,,50.0,,,,50.0,,,,,,,,,,,,0
Angouma,Gabon,ROR,Water,3.0,2030.0,,133.3,,,,0.0,,,,,,,,,,,,0
Ati,Chad,OCGT,Diesel,3.0,2028.0,,2.0,,,,2.0,,,,,,,,,,,,0
Ayeme I,Gabon,PV,Solar,1.0,2025.0,,30.0,,,,65.0,,,,,,,,,,,,0
Bagasse 1,Rwanda,BiomassPlant,Biomass,3.0,2023.0,,12.0,,,,12.0,,,,,,,,,,,,0
Bagasse 2,Rwanda,BiomassPlant,Biomass,3.0,2029.0,,10.0,,,,10.0,,,,,,,,,,,,0
Baia farta,Angola,PV,Solar,1.0,2024.0,,76.0,,,,,,,,,,,,,,,,0
Baibokoum,Chad,OCGT,Diesel,1.0,2010.0,,0.54,,,,,,,,,,,,,,,,0
Baidou,CAR,ROR,Water,,2030.0,,4.5,,,,4.5,,,,,,,,4.8,,,,0
Bailundo,Angola,PV,Solar,2.0,2028.0,,6.0,,,,6.0,,,,,,,,,,,,0
Bamenda,Cameroon,ICE,Diesel,1.0,2024.0,,20.0,,,,,,,,,,,,,,,,0
Bangui Enerca ,CAR,ICE,Diesel,1.0,2025.0,,20.0,,,,,,,,,,,,,,,,0
Bardai,Chad,OCGT,Diesel,1.0,2010.0,,1.0,,,,,,,,,,,,,,,,0
Bata,EquatorialGuinea,OCGT,HFO,1.0,2024.0,,3.0,,,,,,,,,,,,,,,,0
Bata 2,EquatorialGuinea,OCGT,HFO,1.0,2024.0,,24.0,,,,,,,,,,,,,,,,0
Baynes,Angola,ReservoirHydro,Water,3.0,2031.0,,439.0,,,,439.0,,,,,,,,2.420940674,,,,0
Bayomen,Cameroon,ROR,Water,,2051.0,,470.0,,,,470.0,,,,,,,,,,,,0
Bebedja,Chad,OCGT,Diesel,1.0,2010.0,,0.9,,,,,,,,,,,,,,,,0
Benjoin,Angola,OnshoreWind,Wind,3.0,2030.0,,52.0,,,,52.0,,,,,,,,,,,,0
Bifoun,Gabon,ICE,Diesel,1.0,2020.0,,0.48,,,,,,,,,,,,,,,,0
Bihongore,Rwanda,ROR,Water,2.0,2027.0,,4.22,,,,4.22,,,,,,,,,,,,0
Bikomo,EquatorialGuinea,RoR,Water,1.0,1981.0,2051.0,3.0,,,,,,,,,,,,,,,,0
Bikongo,LUX,ReservoirHydro,Water,,2051.0,,100.0,,,,100.0,,,,,,,,,,,,0
Biltine,Chad,OCGT,Diesel,1.0,2010.0,,0.58,,,,,,,,,,,,,,,,0
Bini A Barak,Cameroon,PV,Solar,2.0,2029.0,,35.0,,,,35.0,,,,,,,,5.0,,,,0
Bini A Warak,Cameroon,ROR,Water,2.0,2029.0,,55.0,,,,55.0,,,,,,,,6.4,,,,0
Biopo PV,Angola,PV,Solar,1.0,2024.0,,145.0,,,,,,,,,,,,,,,,0
Bisinde,Burundi,PV,Solar,3.0,2030.0,,20.0,,,,10.0,,,,,,,,,,,,0
Bitam,Gabon,ICE,Diesel,1.0,2020.0,,2.34,,,,,,,,,,,,,,,,0
Boali 1 Rebuild,CAR,ReservoirHydro,Water,1.0,2025.0,,9.0,,,,,,,,,,,,,,,,0
Boali 2,CAR,ReservoirHydro,Water,1.0,2025.0,,20.0,,,,,,,,,,,,,,,,0
Boali 3,CAR,ReservoirHydro,Water,2.0,2029.0,,10.0,,,,10.0,,,,,,,,4.8,,,,0
Bongolo,Gabon,ReservoirHydro,Water,1.0,1992.0,,6.0,,,,,,,,,,,,,,,,0
Booue,Gabon,ReservoirHydro,Water,3.0,2035.0,,411.0,,,,411.0,,,,,,,938.0,2.282238443,,,,0
Boundji,Gabon,ROR,Water,3.0,2027.0,,72.0,,,,0.0,,,,,,,,,,,,0
Bousanga,DRC_South,ReservoirHydro,Water,1.0,2022.0,2060.0,240.0,,,,,,,,,,,,,,,,0
Brazzaville Solar,LUX,PV,Solar,3.0,2028.0,,55.0,,,,55.0,,,,,,,,,,,,0
Bweru,Burundi,PV,Solar,3.0,2030.0,,20.0,,,,10.0,,,,,,,,,,,,0
Cacula,Angola,OnshoreWind,Wind,3.0,2030.0,,88.0,,,,88.0,,,,,,,,,,,,0
Cacula Cabasa,Angola,ROR,Water,2.0,2027.0,,2170.0,,,,2170.0,,,,,,,,,,,,0
Cafula (Keve),Angola,ROR,Water,3.0,2034.0,,400.0,,,,400.0,,,,,,,,2.612884766,,,,0
Cafunfo,Angola,PV,Solar,2.0,2030.0,,41.0,,,,41.0,,,,,,,,,,,,0
Calenga,Angola,OnshoreWind,Wind,3.0,2030.0,,84.0,,,,84.0,,,,,,,,,,,,0
Calengue (Catumbela),Angola,ROR,Water,3.0,2034.0,,200.0,,,,200.0,,,,,,,,2.375333008,,,,0
Cambambe,Angola,ReservoirHydro,Water,1.0,2016.0,,960.0,,,,,,,,,,,,,,,,0
Cambulo,Angola,PV,Solar,2.0,2030.0,,37.0,,,,37.0,,,,,,,,,,,,0
Cankuzo,Burundi,PV,Solar,3.0,2030.0,,20.0,,,,10.0,,,,,,,,,,,,0
Cap Lopez,Gabon,OCGT,Gas,1.0,2020.0,,52.5,,,,,,,,,,,,,,,,0
Capanda,Angola,ReservoirHydro,Water,1.0,2004.0,,520.0,,,,,,,,,,,,,,,,0
Caraculo,Angola,PV,Solar,3.0,2030.0,,25.0,,,,0.0,,,,,,,,,,,,0
Catete,Angola,PV,Solar,3.0,2026.0,,100.0,,,,100.0,,,,,,,,,,,,0
CCGT Lobito ,Angola,CCGT,Gas,3.0,,,750.0,,,,750.0,,,,,,,,,,,,0
CD Benfica,Angola,ICE,Diesel,1.0,2020.0,,36.0,,,,,,,,,,,,,,,,0
CD Bie,Angola,ICE,Diesel,1.0,2020.0,,34.0,,,,,,,,,,,,,,,,0
