y,value
2016,0
2017,38.5896989
2018,39.63266373
2019,40.67562857
2020,41.7185934
2021,42.76155824
2022,43.80452307
2023,44.84748791
2024,45.89045274
2025,46.93341758
2026,47.97638241
2027,49.01934725
2028,50.06231208
2029,51.10527692
2030,52.14824175
2031,53.19120659
2032,54.23417142
2033,55.27713626
2034,57.36306593
2035,58.40603076
2036,59.4489956
2037,60.49196043
2038,62.5778901
2039,63.62085494
2040,65.70678461
2041,67.79271428
2042,69.87864395
2043,71.96457362
2044,74.05050329
2045,76.13643296
2046,78.22236263
2047,80.3082923
2048,82.39422197
2049,84.48015164
2050,86.56608131
