Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,VRETech,UnitSize,pvwsto,stowpv,RE_Flag,CapacityCredit,Error
AE,2025,2090,15,100000,0,2.7296,1,1,,,23500,0.1,,0.35,13,100000,100000,0,,,,3,,,100000,,,,,327651.1796
PEM,2025,2090,15,100000,0,2.52488,1,1,,,23500,0.1,,0.45,13,100000,100000,0,,,,3,,,100000,,,,,327651.0749
SOE,2025,2050,15,100000,0,3.0708,1,1,,,23500,0.1,,0.7,9,100000,100000,0,,,,3,,,100000,,,,,327607.8708
