zone,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Angola,Q1,d1,0.7053,0.6786,0.6692,0.6502,0.6442,0.6373,0.6339,0.6812,0.701,0.7105,0.7174,0.7269,0.6916,0.6907,0.6916,0.7002,0.72,0.7346,0.8337,0.8612,0.8414,0.8225,0.7786,0.7295
Angola,Q1,d2,0.7161,0.689,0.6793,0.6601,0.654,0.647,0.6435,0.6916,0.7117,0.7213,0.7283,0.7379,0.7021,0.7012,0.7021,0.7108,0.7309,0.7458,0.8463,0.8743,0.8542,0.835,0.7904,0.7405
Angola,Q1,d3,0.7989,0.7687,0.7579,0.7365,0.7297,0.7219,0.718,0.7716,0.794,0.8048,0.8126,0.8233,0.7833,0.7823,0.7833,0.7931,0.8155,0.8321,0.9443,0.9755,0.953,0.9316,0.8818,0.8262
Angola,Q1,d4,0.7053,0.6786,0.6692,0.6502,0.6442,0.6373,0.6339,0.6812,0.701,0.7105,0.7174,0.7269,0.6916,0.6907,0.6916,0.7002,0.72,0.7346,0.8337,0.8612,0.8414,0.8225,0.7786,0.7295
Angola,Q1,d5,0.675,0.6495,0.6404,0.6223,0.6165,0.6099,0.6066,0.6519,0.6709,0.68,0.6866,0.6956,0.6618,0.661,0.6618,0.6701,0.689,0.7031,0.7978,0.8242,0.8053,0.7871,0.7451,0.6981
Angola,Q2,d1,0.7801,0.7506,0.7401,0.7191,0.7125,0.7048,0.701,0.7534,0.7753,0.7858,0.7934,0.8039,0.7649,0.7639,0.7649,0.7744,0.7963,0.8125,0.922,0.9525,0.9306,0.9096,0.8611,0.8068
Angola,Q2,d2,0.819,0.788,0.777,0.755,0.748,0.74,0.736,0.791,0.814,0.825,0.833,0.844,0.803,0.802,0.803,0.813,0.836,0.853,0.968,1,0.977,0.955,0.904,0.847
Angola,Q2,d3,0.8112,0.7805,0.7696,0.7479,0.7409,0.733,0.729,0.7835,0.8063,0.8172,0.8251,0.836,0.7954,0.7944,0.7954,0.8053,0.8281,0.8449,0.9588,0.9905,0.9677,0.946,0.8954,0.839
Angola,Q2,d4,0.819,0.788,0.777,0.755,0.748,0.74,0.736,0.791,0.814,0.825,0.833,0.844,0.803,0.802,0.803,0.813,0.836,0.853,0.968,1,0.977,0.955,0.904,0.847
Angola,Q2,d5,0.7721,0.7428,0.7325,0.7117,0.7051,0.6976,0.6938,0.7457,0.7673,0.7777,0.7853,0.7956,0.757,0.756,0.757,0.7664,0.7881,0.8041,0.9125,0.9427,0.921,0.9003,0.8522,0.7985
Burundi,Q1,d1,0.6003,0.5674,0.5674,0.5694,0.5784,0.6382,0.6642,0.7629,0.8058,0.8277,0.8526,0.8536,0.8337,0.8427,0.8476,0.8377,0.8297,0.8845,0.9972,0.9863,0.9583,0.8905,0.7908,0.6841
