zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Angola,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Angola,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Angola,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Angola,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Angola,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Angola,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Angola,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Angola,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Angola,PV,Solar,0,,,,,,15000,0,0,0.8,25
Angola,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Angola,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Angola,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Angola,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Burundi,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Burundi,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Burundi,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Burundi,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Burundi,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Burundi,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Burundi,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Burundi,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Burundi,PV,Solar,0,,,,,,15000,0,0,0.8,25
Burundi,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
