zone,tech,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Rwanda,PV,Q1,d1,0,0,0,0,0,0.035,0.1962,0.4098,0.5646,0.6183,0.5214,0.4711,0.4032,0.3655,0.2256,0.0913,0.0168,0,0,0,0,0,0,0
Rwanda,PV,Q1,d2,0,0,0,0,0.0001,0.0746,0.2858,0.5123,0.6557,0.612,0.58,0.5811,0.4834,0.4786,0.3373,0.1746,0.0288,0,0,0,0,0,0,0
Rwanda,PV,Q1,d3,0,0,0,0,0.0001,0.0533,0.2064,0.2979,0.4124,0.5258,0.6537,0.5441,0.5796,0.4107,0.2632,0.1474,0.0176,0,0,0,0,0,0,0
Rwanda,PV,Q1,d4,0,0,0,0,0,0.0358,0.2138,0.4173,0.6003,0.7031,0.6801,0.4748,0.2946,0.2008,0.1845,0.1348,0.0356,0,0,0,0,0,0,0
Rwanda,PV,Q1,d5,0,0,0,0,0,0.0126,0.0831,0.2557,0.2946,0.3455,0.397,0.4096,0.4413,0.3634,0.1799,0.0679,0.0124,0,0,0,0,0,0,0
Rwanda,PV,Q2,d1,0,0,0,0,0,0.0271,0.1904,0.2182,0.3343,0.3788,0.4928,0.5277,0.5031,0.3969,0.4321,0.2619,0.0495,0,0,0,0,0,0,0
Rwanda,PV,Q2,d2,0,0,0,0,0,0.0185,0.1803,0.4224,0.605,0.5046,0.5575,0.5484,0.547,0.4599,0.3239,0.1838,0.0516,0.0002,0,0,0,0,0,0
Rwanda,PV,Q2,d3,0,0,0,0,0.0001,0.05,0.208,0.4886,0.6686,0.7557,0.6119,0.656,0.5352,0.4318,0.2152,0.1266,0.0227,0,0,0,0,0,0,0
Rwanda,PV,Q2,d4,0,0,0,0,0,0.0275,0.2472,0.3478,0.5035,0.608,0.7238,0.7242,0.6566,0.5828,0.4244,0.2496,0.0681,0.0002,0,0,0,0,0,0
Rwanda,PV,Q2,d5,0,0,0,0,0.0004,0.0971,0.2878,0.4949,0.5997,0.616,0.6992,0.639,0.561,0.3715,0.2236,0.1044,0.0111,0,0,0,0,0,0,0
Gabon,PV,Q1,d1,0,0,0,0,0,0,0.0228,0.1615,0.3359,0.487,0.6076,0.6601,0.6631,0.6,0.4942,0.3789,0.2248,0.0593,0.0038,0,0,0,0,0
Gabon,PV,Q1,d2,0,0,0,0,0,0,0.0313,0.1413,0.2777,0.4228,0.5532,0.6402,0.6241,0.5074,0.5171,0.3476,0.2076,0.0476,0.0033,0,0,0,0,0
Gabon,PV,Q1,d3,0,0,0,0,0,0,0.0379,0.2012,0.3806,0.4634,0.5576,0.5011,0.5414,0.5044,0.4522,0.314,0.1424,0.0355,0.0033,0,0,0,0,0
Gabon,PV,Q1,d4,0,0,0,0,0,0,0.0192,0.1153,0.2507,0.3734,0.4518,0.523,0.4979,0.4964,0.4642,0.3367,0.1873,0.0441,0.0037,0,0,0,0,0
Gabon,PV,Q1,d5,0,0,0,0,0,0,0.0254,0.1642,0.3713,0.4961,0.5215,0.5065,0.5318,0.5665,0.4883,0.3891,0.223,0.0596,0.0039,0,0,0,0,0
Gabon,PV,Q2,d1,0,0,0,0,0,0,0.0352,0.175,0.3432,0.4567,0.578,0.6671,0.6198,0.486,0.3792,0.2612,0.1439,0.041,0.0036,0,0,0,0,0
Gabon,PV,Q2,d2,0,0,0,0,0,0,0.0107,0.0826,0.2405,0.3786,0.4619,0.5896,0.5623,0.4877,0.5163,0.3483,0.2557,0.0927,0.0057,0,0,0,0,0
Gabon,PV,Q2,d3,0,0,0,0,0,0,0.0162,0.1437,0.2575,0.4024,0.5446,0.5932,0.5835,0.5215,0.5084,0.3442,0.161,0.0397,0.0032,0,0,0,0,0
