zone,tech,fuel,Q1,Q2
Congo,OCGT,Diesel,0.85,0.85
Congo,OCGT,HFO,0.85,0.85
Congo,BiomassPlant,Biomass,0.85,0.85
Congo,PV,Solar,1,1
Congo,CSPPlant,CSP,1,1
Congo,OnshoreWind,Wind,1,1
Congo,OffshoreWind,Wind,1,1
Congo,Storage,Battery,1,1
Congo,Storage,Water,0.85,0.85
Congo,ReservoirHydro,Water,0.85,0.85
Congo,ROR,Water,1,1
DRC,ST,Coal,0.65,0.65
DRC,ST,Lignite,0.65,0.65
DRC,OCGT,Gas,0.85,0.85
DRC,CCGT,Gas,0.85,0.85
DRC,OCGT,Diesel,0.85,0.85
DRC,OCGT,HFO,0.85,0.85
DRC,BiomassPlant,Biomass,0.85,0.85
DRC,PV,Solar,1,1
DRC,CSPPlant,CSP,1,1
DRC,OnshoreWind,Wind,1,1
DRC,OffshoreWind,Wind,1,1
DRC,Storage,Battery,1,1
DRC,Storage,Water,0.85,0.85
DRC,ReservoirHydro,Water,0.85,0.85
DRC,ROR,Water,1,1
EquatorialGuinea,ST,Coal,0.65,0.65
EquatorialGuinea,ST,Lignite,0.65,0.65
EquatorialGuinea,OCGT,Gas,0.85,0.85
EquatorialGuinea,CCGT,Gas,0.85,0.85
EquatorialGuinea,OCGT,Diesel,0.85,0.85
EquatorialGuinea,OCGT,HFO,0.85,0.85
EquatorialGuinea,BiomassPlant,Biomass,0.85,0.85
EquatorialGuinea,PV,Solar,1,1
EquatorialGuinea,CSPPlant,CSP,1,1
EquatorialGuinea,OnshoreWind,Wind,1,1
EquatorialGuinea,OffshoreWind,Wind,1,1
EquatorialGuinea,Storage,Battery,1,1
EquatorialGuinea,Storage,Water,0.85,0.85
EquatorialGuinea,ReservoirHydro,Water,0.85,0.85
EquatorialGuinea,ROR,Water,1,1
Gabon,ST,Coal,0.65,0.65
Gabon,ST,Lignite,0.65,0.65
Gabon,OCGT,Gas,0.85,0.85
Gabon,CCGT,Gas,0.85,0.85
Gabon,OCGT,Diesel,0.85,0.85
Gabon,OCGT,HFO,0.85,0.85
Gabon,BiomassPlant,Biomass,0.85,0.85
Gabon,PV,Solar,1,1
Gabon,CSPPlant,CSP,1,1
Gabon,OnshoreWind,Wind,1,1
Gabon,OffshoreWind,Wind,1,1
Gabon,Storage,Battery,1,1
Gabon,Storage,Water,0.85,0.85
Gabon,ReservoirHydro,Water,0.85,0.85
Gabon,ROR,Water,1,1
Rwanda,ST,Coal,0.65,0.65
Rwanda,ST,Lignite,0.65,0.65
Rwanda,OCGT,Gas,0.85,0.85
Rwanda,CCGT,Gas,0.85,0.85
Rwanda,OCGT,Diesel,0.85,0.85
Rwanda,OCGT,HFO,0.85,0.85
Rwanda,BiomassPlant,Biomass,0.85,0.85
Rwanda,PV,Solar,1,1
Rwanda,CSPPlant,CSP,1,1
Rwanda,OnshoreWind,Wind,1,1
Rwanda,OffshoreWind,Wind,1,1
Rwanda,Storage,Battery,1,1
Rwanda,Storage,Water,0.85,0.85
Rwanda,ReservoirHydro,Water,0.85,0.85
Rwanda,ROR,Water,1,1
STP,ST,Coal,0.65,0.65
STP,ST,Lignite,0.65,0.65
STP,OCGT,Gas,0.85,0.85
STP,CCGT,Gas,0.85,0.85
STP,OCGT,Diesel,0.85,0.85
STP,OCGT,HFO,0.85,0.85
STP,BiomassPlant,Biomass,0.85,0.85
STP,PV,Solar,1,1
STP,CSPPlant,CSP,1,1
STP,OnshoreWind,Wind,1,1
STP,OffshoreWind,Wind,1,1
STP,Storage,Battery,1,1
STP,Storage,Water,0.85,0.85
STP,ReservoirHydro,Water,0.85,0.85
STP,ROR,Water,1,1
DRC_South,ST,Coal,0.65,0.65
DRC_South,ST,Lignite,0.65,0.65
DRC_South,OCGT,Gas,0.85,0.85
DRC_South,CCGT,Gas,0.85,0.85
DRC_South,OCGT,Diesel,0.85,0.85
DRC_South,OCGT,HFO,0.85,0.85
DRC_South,BiomassPlant,Biomass,0.85,0.85
DRC_South,PV,Solar,1,1
DRC_South,CSPPlant,CSP,1,1
DRC_South,OnshoreWind,Wind,1,1
DRC_South,OffshoreWind,Wind,1,1
DRC_South,Storage,Battery,1,1
DRC_South,Storage,Water,0.85,0.85
DRC_South,ReservoirHydro,Water,0.85,0.85
DRC_South,ROR,Water,1,1
DRC_East,ST,Coal,0.65,0.65
DRC_East,ST,Lignite,0.65,0.65
DRC_East,OCGT,Gas,0.85,0.85
DRC_East,CCGT,Gas,0.85,0.85
DRC_East,OCGT,Diesel,0.85,0.85
DRC_East,OCGT,HFO,0.85,0.85
DRC_East,BiomassPlant,Biomass,0.85,0.85
DRC_East,PV,Solar,1,1
DRC_East,CSPPlant,CSP,1,1
DRC_East,OnshoreWind,Wind,1,1
DRC_East,OffshoreWind,Wind,1,1
DRC_East,Storage,Battery,1,1
DRC_East,Storage,Water,0.85,0.85
DRC_East,ReservoirHydro,Water,0.85,0.85
DRC_East,ROR,Water,1,1
Angola,ICE,Diesel,0.85,0.85
Burundi,ICE,Diesel,0.85,0.85
Cameroon,ICE,Diesel,0.85,0.85
CAR,ICE,Diesel,0.85,0.85
Chad,ICE,Diesel,0.85,0.85
Congo,ICE,Diesel,0.85,0.85
DRC,ICE,Diesel,0.85,0.85
EquatorialGuinea,ICE,Diesel,0.85,0.85
Gabon,ICE,Diesel,0.85,0.85
Rwanda,ICE,Diesel,0.85,0.85
STP,ICE,Diesel,0.85,0.85
DRC_South,ICE,Diesel,0.85,0.85
DRC_East,ICE,Diesel,0.85,0.85
Angola,ICE,HFO,0.85,0.85
Burundi,ICE,HFO,0.85,0.85
Cameroon,ICE,HFO,0.85,0.85
CAR,ICE,HFO,0.85,0.85
Chad,ICE,HFO,0.85,0.85
Congo,ICE,HFO,0.85,0.85
DRC,ICE,HFO,0.85,0.85
EquatorialGuinea,ICE,HFO,0.85,0.85
Gabon,ICE,HFO,0.85,0.85
Rwanda,ICE,HFO,0.85,0.85
STP,ICE,HFO,0.85,0.85
DRC_South,ICE,HFO,0.85,0.85
DRC_East,ICE,HFO,0.85,0.85
Angola,ICE,Gas,0.85,0.85
Burundi,ICE,Gas,0.85,0.85
Cameroon,ICE,Gas,0.85,0.85
CAR,ICE,Gas,0.85,0.85
Chad,ICE,Gas,0.85,0.85
Congo,ICE,Gas,0.85,0.85
DRC,ICE,Gas,0.85,0.85
EquatorialGuinea,ICE,Gas,0.85,0.85
Gabon,ICE,Gas,0.85,0.85
Rwanda,ICE,Gas,0.85,0.85
STP,ICE,Gas,0.85,0.85
DRC_South,ICE,Gas,0.85,0.85
DRC_East,ICE,Gas,0.85,0.85
