zone,tech,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Gambia,PV,m1,d1,0,0,0,0,0,0,0,0.005571031,0.26183844,0.6545961,0.715877437,0.715877437,0.715877437,0.715877437,0.715877437,0.715877437,0.668523677,0.362116992,0.030640669,0,0,0,0,0
Gambia,PV,m1,d2,0,0,0,0,0,0,0,0.005571031,0.105849582,0.189415042,0.289693593,0.342618384,0.384401114,0.356545961,0.250696379,0.142061281,0.200557103,0.072423398,0.019498607,0,0,0,0,0
Gambia,PV,m1,d3,0,0,0,0,0,0,0,0.008356546,0.270194986,0.462395543,0.52367688,0.353760446,0.328690808,0.515320334,0.473537604,0.504178273,0.454038997,0.217270195,0.013927577,0,0,0,0,0
Gambia,PV,m1,d4,0,0,0,0,0,0,0,0,0.005571031,0.005571031,0.005571031,0.005571031,0.005571031,0.005571031,0.005571031,0.005571031,0.005571031,0.005571031,0.002785515,0,0,0,0,0
Gambia,PV,m1,d5,0,0,0,0,0,0,0,0.011142061,0.272980501,0.768802228,0.799442897,0.805013928,0.805013928,0.805013928,0.805013928,0.805013928,0.796657382,0.520891365,0.055710306,0,0,0,0,0
Gambia,PV,m1,d6,0,0,0,0,0,0,0,0.011142061,0.39275766,0.807799443,0.82729805,0.82729805,0.82729805,0.82729805,0.82729805,0.82729805,0.821727019,0.543175487,0.061281337,0,0,0,0,0
Gambia,PV,m1,d7,0,0,0,0,0,0,0,0.013927577,0.459610028,0.86908078,0.874651811,0.874651811,0.874651811,0.874651811,0.874651811,0.874651811,0.874651811,0.635097493,0.075208914,0,0,0,0,0
Gambia,PV,m1,d8,0,0,0,0,0,0,0,0.013927577,0.501392758,0.896935933,0.896935933,0.896935933,0.896935933,0.896935933,0.896935933,0.896935933,0.896935933,0.685236769,0.08913649,0,0,0,0,0
Gambia,PV,m1,d9,0,0,0,0,0,0,0,0.013927577,0.479108635,0.880222841,0.883008357,0.883008357,0.883008357,0.883008357,0.883008357,0.883008357,0.883008357,0.668523677,0.08913649,0,0,0,0,0
Gambia,PV,m1,d10,0,0,0,0,0,0,0,0.011142061,0.417827298,0.832869081,0.841225627,0.841225627,0.841225627,0.841225627,0.841225627,0.841225627,0.841225627,0.601671309,0.077994429,0,0,0,0,0
Gambia,PV,m1,d11,0,0,0,0,0,0,0,0.011142061,0.406685237,0.802228412,0.796657382,0.821727019,0.821727019,0.821727019,0.821727019,0.821727019,0.818941504,0.584958217,0.077994429,0,0,0,0,0
Gambia,PV,m1,d12,0,0,0,0,0,0,0,0.008356546,0.158774373,0.501392758,0.532033426,0.690807799,0.662952646,0.601671309,0.610027855,0.584958217,0.43454039,0.186629526,0.016713092,0,0,0,0,0
Gambia,PV,m1,d13,0,0,0,0,0,0,0,0.008356546,0.222841226,0.267409471,0.456824513,0.465181058,0.571030641,0.551532033,0.515320334,0.470752089,0.376044568,0.300835655,0.016713092,0,0,0,0,0
Gambia,PV,m1,d14,0,0,0,0,0,0,0,0.008356546,0.311977716,0.757660167,0.788300836,0.810584958,0.810584958,0.810584958,0.810584958,0.810584958,0.805013928,0.540389972,0.066852368,0,0,0,0,0
Gambia,PV,m1,d15,0,0,0,0,0,0,0,0.008356546,0.395543175,0.816155989,0.841225627,0.841225627,0.841225627,0.841225627,0.841225627,0.841225627,0.835654596,0.582172702,0.08356546,0,0,0,0,0
Gambia,PV,m1,d16,0,0,0,0,0,0,0,0.008356546,0.359331476,0.757660167,0.810584958,0.807799443,0.793871866,0.810584958,0.810584958,0.810584958,0.805013928,0.554317549,0.077994429,0,0,0,0,0
Gambia,PV,m1,d17,0,0,0,0,0,0,0,0.008356546,0.381615599,0.832869081,0.860724234,0.860724234,0.860724234,0.860724234,0.860724234,0.860724234,0.855153203,0.610027855,0.091922006,0,0,0,0,0
