gen,zone,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost
Abeche ,Chad,OCGT,Diesel,1,2010,,0.5,,,,,,,,,,,,,,,
Abeche 2,Chad,OCGT,Diesel,3,2030,,13.5,,,,13.5,,,,,,,,,,,
AH Mabubas,Angola,ROR,Water,1,1954,2051,25.6,,,,,,,,,,,,,,,
Akanyaru Peat,Rwanda,ST,Coal,2,2032,,0,,,,50,,,,,,,,,,,
Akieni,Gabon,ROR,Water,3,2030,,120.75,,,,0,,,,,,,,,,,
Akoga,EquatorialGuinea,OCGT,Gas,3,2030,,38,,,,38,,,,,,,,,,,
Akok,Gabon,ICE,Diesel,1,2020,,0.69,,,,,,,,,,,,,,,
Alenakiri,Gabon,OCGT,Gas,1,2020,,48,,,,,,,,,,,,,,,
AM Timan ,Chad,OCGT,Diesel,1,2010,,0.5,,,,,,,,,,,,,,,
AM Timan 1,Chad,PV,Solar,2,2023,,5,,,,5,,,,,,,,,,,
AM Timan 2,Chad,PV,Solar,3,2028,,5,,,,5,,,,,,,,,,,
Amdjarass,Chad,OnshoreWind,Wind,2,2025,,1.1,,,,1.1,,,,,,,,,,,
Anda Gassi,Chad,PV,Solar,2,2026,,50,,,,50,,,,,,,,,,,
Angouma,Gabon,ROR,Water,3,2030,,133.3,,,,0,,,,,,,,,,,
Ati,Chad,OCGT,Diesel,3,2028,,2,,,,2,,,,,,,,,,,
Ayeme I,Gabon,PV,Solar,1,2025,,30,,,,65,,,,,,,,,,,
Bagasse 1,Rwanda,BiomassPlant,Biomass,3,2023,,12,,,,12,,,,,,,,,,,
Bagasse 2,Rwanda,BiomassPlant,Biomass,3,2029,,10,,,,10,,,,,,,,,,,
Baia farta,Angola,PV,Solar,1,2024,,76,,,,,,,,,,,,,,,
Baibokoum,Chad,OCGT,Diesel,1,2010,,0.54,,,,,,,,,,,,,,,
Baidou,CAR,ROR,Water,,2030,,4.5,,,,4.5,,,,,,,,4.8,,,
Bailundo,Angola,PV,Solar,2,2028,,6,,,,6,,,,,,,,,,,
Bamenda,Cameroon,ICE,Diesel,1,2024,,20,,,,,,,,,,,,,,,
Bangui Enerca ,CAR,ICE,Diesel,1,2025,,20,,,,,,,,,,,,,,,
Bardai,Chad,OCGT,Diesel,1,2010,,1,,,,,,,,,,,,,,,
Bata,EquatorialGuinea,OCGT,HFO,1,2024,,3,,,,,,,,,,,,,,,
Bata 2,EquatorialGuinea,OCGT,HFO,1,2024,,24,,,,,,,,,,,,,,,
Baynes,Angola,ReservoirHydro,Water,3,2031,,439,,,,439,,,,,,,,2.420940674,,,
Bayomen,Cameroon,ROR,Water,,2051,,470,,,,470,,,,,,,,,,,
Bebedja,Chad,OCGT,Diesel,1,2010,,0.9,,,,,,,,,,,,,,,
Benjoin,Angola,OnshoreWind,Wind,3,2030,,52,,,,52,,,,,,,,,,,
Bifoun,Gabon,ICE,Diesel,1,2020,,0.48,,,,,,,,,,,,,,,
Bihongore,Rwanda,ROR,Water,2,2027,,4.22,,,,4.22,,,,,,,,,,,
Bikomo,EquatorialGuinea,RoR,Water,1,1981,2051,3,,,,,,,,,,,,,,,
Bikongo,Congo,ReservoirHydro,Water,,2051,,100,,,,100,,,,,,,,,,,
Biltine,Chad,OCGT,Diesel,1,2010,,0.58,,,,,,,,,,,,,,,
Bini A Barak,Cameroon,PV,Solar,2,2029,,35,,,,35,,,,,,,,5,,,
Bini A Warak,Cameroon,ROR,Water,2,2029,,55,,,,55,,,,,,,,6.4,,,
Biopo PV,Angola,PV,Solar,1,2024,,145,,,,,,,,,,,,,,,
Bisinde,Burundi,PV,Solar,3,2030,,20,,,,10,,,,,,,,,,,
Bitam,Gabon,ICE,Diesel,1,2020,,2.34,,,,,,,,,,,,,,,
Boali 1 Rebuild,CAR,ReservoirHydro,Water,1,2025,,9,,,,,,,,,,,,,,,
Boali 2,CAR,ReservoirHydro,Water,1,2025,,20,,,,,,,,,,,,,,,
Boali 3,CAR,ReservoirHydro,Water,2,2029,,10,,,,10,,,,,,,,4.8,,,
Bongolo,Gabon,ReservoirHydro,Water,1,1992,,6,,,,,,,,,,,,,,,
Booue,Gabon,ReservoirHydro,Water,3,2035,,411,,,,411,,,,,,,938,2.282238443,,,
Boundji,Gabon,ROR,Water,3,2027,,72,,,,0,,,,,,,,,,,
Bousanga,DRC_South,ReservoirHydro,Water,1,2022,2060,240,,,,,,,,,,,,,,,
Brazzaville Solar,Congo,PV,Solar,3,2028,,55,,,,55,,,,,,,,,,,
Bweru,Burundi,PV,Solar,3,2030,,20,,,,10,,,,,,,,,,,
Cacula,Angola,OnshoreWind,Wind,3,2030,,88,,,,88,,,,,,,,,,,
Cacula Cabasa,Angola,ROR,Water,2,2027,,2170,,,,2170,,,,,,,,,,,
Cafula (Keve),Angola,ROR,Water,3,2034,,400,,,,400,,,,,,,,2.612884766,,,
Cafunfo,Angola,PV,Solar,2,2030,,41,,,,41,,,,,,,,,,,
Calenga,Angola,OnshoreWind,Wind,3,2030,,84,,,,84,,,,,,,,,,,
Calengue (Catumbela),Angola,ROR,Water,3,2034,,200,,,,200,,,,,,,,2.375333008,,,
Cambambe,Angola,ReservoirHydro,Water,1,2016,,960,,,,,,,,,,,,,,,
Cambulo,Angola,PV,Solar,2,2030,,37,,,,37,,,,,,,,,,,
Cankuzo,Burundi,PV,Solar,3,2030,,20,,,,10,,,,,,,,,,,
Cap Lopez,Gabon,OCGT,Gas,1,2020,,52.5,,,,,,,,,,,,,,,
Capanda,Angola,ReservoirHydro,Water,1,2004,,520,,,,,,,,,,,,,,,
Caraculo,Angola,PV,Solar,3,2030,,25,,,,0,,,,,,,,,,,
Catete,Angola,PV,Solar,3,2026,,100,,,,100,,,,,,,,,,,
CCGT Lobito ,Angola,CCGT,Gas,3,,,750,,,,750,,,,,,,,,,,
CD Benfica,Angola,ICE,Diesel,1,2020,,36,,,,,,,,,,,,,,,
CD Bie,Angola,ICE,Diesel,1,2020,,34,,,,,,,,,,,,,,,
CD Buco Zau,Angola,ICE,Diesel,1,2020,,4,,,,,,,,,,,,,,,
CD Capoca 2,Angola,ICE,Diesel,1,2020,,20,,,,,,,,,,,,,,,
CD Cavaco,Angola,ICE,Diesel,1,2020,,16,,,,,,,,,,,,,,,
CD Chibodo,Angola,ICE,Diesel,1,2020,,31,,,,,,,,,,,,,,,
CD Cuebe,Angola,ICE,Diesel,1,2020,,50,,,,,,,,,,,,,,,
CD Cuito Cuanavale,Angola,ICE,Diesel,1,2020,,7,,,,,,,,,,,,,,,
CD Dundo,Angola,ICE,Diesel,1,2020,,41,,,,,,,,,,,,,,,
CD Huambo,Angola,ICE,Diesel,1,2020,,38,,,,,,,,,,,,,,,
CD Kianganga,Angola,ICE,Diesel,1,2020,,5,,,,,,,,,,,,,,,
CD Luau,Angola,ICE,Diesel,1,2020,,33,,,,,,,,,,,,,,,
CD Lunda Sul,Angola,ICE,Diesel,1,2020,,46,,,,,,,,,,,,,,,
CD Menongue,Angola,ICE,Diesel,1,2020,,12,,,,,,,,,,,,,,,
CD Quarteis,Angola,ICE,Diesel,1,2020,,28,,,,,,,,,,,,,,,
CD Santa Catarina,Angola,ICE,Diesel,1,2020,,10,,,,,,,,,,,,,,,
CEC (Cote Mateve) ,Congo,OCGT,Gas,1,2010,,484,,,,,30,,,,,,,,,,
CEC Rebuild (Cote Mateve) ,Congo,CCGT,Gas,,2051,,484,,,,500,30,,,,,,,,,,
Chibia,Angola,OnshoreWind,Wind,3,2030,,88,,,,88,,,,,,,,,,,
Chollet (Cameroon),Cameroon,ROR,Water,3,2035,,300,,,,300,,,,,,,,4,,,
Chollet (Congo),Congo,ReservoirHydro,Water,3,2035,,300,,,,300,,,,,,,,3.5,,,
Chute de Tsamba,Gabon,ReservoirHydro,Water,3,2037,,90,,,,90,,,,,,,246,2.733333333,,,
Chutes de l'Imperatrice,Gabon,ROR,Water,3,2035,,88,,,,88,,,,,,,453,5.147727273,,,
Chutes de Nki,Cameroon,ROR,Water,,2051,,403,,,,403,,,,,,,,,,,
Colomines,Cameroon,ROR,Water,,2051,,12,,,,12,,,,,,,,,,,
CT Belem,Angola,OCGT,Gas,1,2020,,50,,,,,,,,,,,,,,,
CT Biopo,Angola,OCGT,Gas,1,2020,,27,,,,,,,,,,,,,,,
CT Boa Vista,Angola,OCGT,Gas,1,2020,,131,,,,,,,,,,,,,,,
CT Camana,Angola,OCGT,Gas,1,2020,,50,,,,,,,,,,,,,,,
CT Cazenga,Angola,OCGT,Gas,1,2020,,140,,,,,,,,,,,,,,,
CT CFL,Angola,OCGT,Gas,1,2020,,125,,,,,,,,,,,,,,,
CT Malembo,Angola,OCGT,Gas,1,2012,,105,,,,,,,,,,,,,,,
CT Morro Bento 2,Angola,OCGT,Gas,1,2020,,50,,,,,,,,,,,,,,,
CT Namibe ,Angola,CCGT,Gas,3,2032,,750,,,,750,,,,,,,,,,,
CT Viana,Angola,OCGT,Gas,1,2020,,22,,,,,,,,,,,,,,,
CTB (Mpila),Congo,ICE,Diesel,1,2024,,21,,,,,,,,,,,,,,,
CTH plant,Burundi,OCGT,Diesel,1,2022,,34,,,,,,,,,,,,,,,
Cuango,Angola,PV,Solar,2,2030,,11,,,,11,,,,,,,,,,,
Cunene,Angola,PV,Solar,2,2030,,8,,,,8,,,,,,,,,,,
Cunene thermique,Angola,ICE,Diesel,1,2020,,48,,,,,,,,,,,,,,,
Dama,Burundi,ROR,Water,3,2027,,5,,,,5,,,,,,,,,,,
Danzi,CAR,PV,Solar,1,2025,,25,,,,,,,,,,,,,,,
Danzi 2,CAR,PV,Solar,3,2028,,25,,,,25,,,,,,,,,,,
Dechets municipaux,Burundi,BiomassPlant,Biomass,3,2030,,15,,,,15,,,,,,,,,,,
Denali Ndjamena ,Chad,OCGT,Diesel,2,2028,,32,,,,32,,,,,,,,,,,
Dibamba,Cameroon,ICE,Diesel,1,2024,,86,,,,,,,,,,,,,,,
Dibwangui,Gabon,ROR,Water,3,2029,,15,,,,15,,,,,,,84,5.6,,,
Dimoli (Cameroon),Cameroon,ReservoirHydro,Water,3,2040,,90,,,,90,,,,,,,,,,,
Dimoli (CAR),CAR,ReservoirHydro,Water,3,2040,,90,,,,90,,,,,,,,1.7,,,
Djamboutou,Cameroon,ICE,Diesel,1,2024,,20,,,,,,,,,,,,,,,
Djeno,Congo,OCGT,Gas,1,2023,,50,,,,,,,,,,,,,,,
Djermaya,Chad,PV,Solar,2,2028,,36,,,,36,,,,,,,,,,,
Djibloho,EquatorialGuinea,ReservoirHydro,Water,1,2025,,120,,,,,,,,,,,,,,,
Djoue Rebuild,Congo,ReservoirHydro,Water,,2051,,25,,,,,,,,,,,,,,,
Doba,Chad,OCGT,Diesel,3,2028,,0.16,,,,0.16,,,,,,,,,,,
Doba Kome Gas,Chad,OCGT,Gas,1,2003,,90,,,,,,,,,,,,,,,
Doba Kome HFO,Chad,OCGT,HFO,1,2003,,30,,,,,,,,,,,,,,,
Dolisie,Congo,ICE,Diesel,1,2024,,2,,,,,,,,,,,,,,,
Doubou,Gabon,PV,Solar,2,2028,,20,,,,20,,,,,,,,,,,
Edea,Cameroon,ROR,Water,1,1958,2050,265,,,,,,,,,,,,,,,
Edea Amont,Cameroon,ROR,Water,,2051,,474,,,,474,,,,,,,,,,,
Faga,Gabon,ROR,Water,3,2027,,39,,,,0,,,,,,,,,,,
Farcha,Chad,OCGT,HFO,1,2006,,84.2,,,,,,,,,,,,,,,
FE-2 (Kinguele Aval),Gabon,ROR,Water,2,2025,,34.3,,,,34.3,,,,,,,180,5.247813411,,,
Fianga,Chad,OCGT,Diesel,1,2010,,0.54,,,,,,,,,,,,,,,
Forzi Akwaya,Cameroon,BiomassPlant,Biomass,,2051,,50,,,,50,,,,,,,,,,,
Fougamou,Gabon,ICE,Diesel,1,2020,,0.24,,,,,,,,,,,,,,,
Gakenke 1,Rwanda,ROR,Water,2,2027,,2.9,,,,2.9,,,,,,,,,,,
Gakenke 2,Rwanda,ROR,Water,2,2027,,2.9,,,,2.9,,,,,,,,,,,
Gamba,Gabon,OCGT,Gas,1,2020,,3.4,,,,,,,,,,,,,,,
Gamboma,Congo,ReservoirHydro,Water,,2051,,14,,,,,,,,,,,,,,,
Gaseke,Rwanda,ROR,Water,1,2017,2051,0.5,,,,,,,,,,,,,,,
Gastao,Angola,OnshoreWind,Wind,3,2030,,30,,,,30,,,,,,,,,,,
GDS,Cameroon,PV,Solar,,2027,,33,,,,33,,,,,,,,,,,
Generic_BESS_Angola,Angola,Storage,Battery,3,2035,,200000,,,,100,,,,,,,,,,,
Generic_BESS_Burundi,Burundi,Storage,Battery,3,2035,,3000,,,,6,,,,,,,,,,,
Generic_BESS_CAF,CAR,Storage,Battery,3,2035,,1000,,,,4,,,,,,,,,,,
Generic_BESS_Cameroon,Cameroon,Storage,Battery,3,2035,,70000,,,,170,,,,,,,,,,,
Generic_BESS_Chad,Chad,Storage,Battery,3,2035,,40000,,,,7,,,,,,,,,,,
Generic_BESS_Congo,Congo,Storage,Battery,3,2035,,50000,,,,45,,,,,,,,,,,
