gen,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Kotu G5,,,,,,,,,,,,
Kotu G6,,,,,,,,,,,,
Kotu G7,,,,,,,,,,,,
Kotu G8,,,,,,,,,,,,
Brikama G1,,,,,,,,,,,,
Brikama G3,,,,,,,,,,,,
Brikama G4,,,,,,,,,,,,
Brikama G6,,,,,,,,,,,,
Brikama G7,,,,,,,,,,,,
Brikama II,,,,,,,,,,,,
Brikama III G1,,,,,,,,,,,,
Brikama III G2,,,,,,,,,,,,
Karpower 1,,,,,,,,,,,,
Karpower 2,,,,,,,,,,,,
Farafenni,0,0,0,0,0,0,0,0,0,0,0,0
Basse,0,0,0,0,0,0,0,0,0,0,0,0
Jambur PV,,,,,,,,,,,,
Jambur BESS,,,,,,,,,,,,
Import Guinea,0.45,0.45,0.45,0.45,1,1,1,1,1,1,0.45,0.45
Import Senegal,1,1,1,1,1,1,1,1,1,1,1,1
Import Senegal MV,1,1,1,1,1,1,1,1,1,1,1,1
